ID,BasinID,Lat,Long,Rainfed croplands,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%),Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) ,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m),Closed (>40%) broadleaved deciduous forest (>5m),Open (15-40%) broadleaved deciduous forest/woodland (>5m),Open (15-40%) needleleaved deciduous or evergreen forest (>5m),Mosaic forest or shrubland (50-70%) / grassland (20-50%),Mosaic grassland (50-70%) / forest or shrubland (20-50%) ,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)","Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)",Sparse (<15%) vegetation,"Closed to open (>15%) grassland or woody vegetation on regularly flooded or waterlogged soil - Fresh, brackish or saline water",Bare areas,Water bodies
117,117,-11.44,31.89,0.000,0.000,0.003,0.000,0.145,0.656,0.000,0.000,0.000,0.196,0.000,0.000,0.000,0.000,0.000
118,118,-11.87,32.61,0.000,0.000,0.265,0.000,0.004,0.412,0.000,0.014,0.002,0.268,0.031,0.000,0.000,0.000,0.005
119,119,-11.79,32.7,0.000,0.000,0.386,0.000,0.012,0.402,0.000,0.002,0.002,0.178,0.015,0.000,0.001,0.000,0.002
120,120,-11.54,32.57,0.000,0.000,0.048,0.000,0.058,0.697,0.000,0.006,0.006,0.160,0.017,0.000,0.000,0.000,0.008
121,121,-11.47,32.38,0.000,0.000,0.166,0.000,0.273,0.342,0.000,0.001,0.001,0.214,0.003,0.000,0.000,0.000,0.000
122,122,-11.61,32.83,0.000,0.000,0.307,0.000,0.007,0.359,0.000,0.002,0.002,0.282,0.020,0.000,0.016,0.000,0.004
123,123,-11.79,32.91,0.000,0.000,0.250,0.000,0.051,0.501,0.000,0.001,0.000,0.141,0.001,0.000,0.053,0.000,0.001
124,124,-11.73,32.94,0.000,0.000,0.231,0.000,0.105,0.461,0.000,0.001,0.000,0.104,0.000,0.000,0.098,0.000,0.000
125,125,-11.74,33.22,0.000,0.000,0.301,0.000,0.082,0.406,0.000,0.000,0.016,0.178,0.018,0.000,0.000,0.000,0.000
126,126,-11.91,32.9,0.000,0.000,0.379,0.000,0.022,0.475,0.000,0.000,0.000,0.121,0.003,0.000,0.000,0.000,0.000
127,127,-11.59,32.98,0.000,0.000,0.263,0.000,0.018,0.502,0.000,0.003,0.001,0.190,0.005,0.000,0.020,0.000,0.000
128,128,-11.3,32.65,0.000,0.000,0.245,0.000,0.219,0.281,0.000,0.021,0.004,0.213,0.017,0.000,0.000,0.000,0.001
129,129,-11.46,32.97,0.000,0.000,0.291,0.000,0.007,0.394,0.000,0.014,0.000,0.250,0.024,0.000,0.018,0.000,0.002
130,130,-11.32,32.92,0.000,0.000,0.155,0.000,0.005,0.388,0.000,0.073,0.012,0.255,0.071,0.000,0.039,0.000,0.003
131,131,-11.43,33.13,0.000,0.000,0.159,0.000,0.026,0.595,0.000,0.000,0.000,0.182,0.003,0.000,0.035,0.000,0.000
132,132,-11.14,32.56,0.000,0.000,0.052,0.000,0.298,0.360,0.000,0.024,0.002,0.240,0.025,0.000,0.000,0.000,0.000
133,133,-11.31,33.09,0.000,0.000,0.156,0.000,0.009,0.540,0.000,0.003,0.002,0.232,0.017,0.000,0.042,0.000,0.000
134,134,-11.23,33.04,0.000,0.000,0.217,0.000,0.000,0.295,0.000,0.006,0.000,0.420,0.030,0.000,0.031,0.000,0.000
135,135,-11.15,32.9,0.000,0.000,0.225,0.000,0.000,0.441,0.000,0.003,0.002,0.247,0.024,0.000,0.058,0.000,0.000
136,136,-11.1,32.63,0.000,0.000,0.069,0.000,0.270,0.414,0.000,0.000,0.000,0.247,0.000,0.000,0.000,0.000,0.000
137,137,-11.12,33.22,0.000,0.000,0.220,0.000,0.128,0.400,0.000,0.000,0.000,0.191,0.000,0.000,0.061,0.000,0.000
138,138,-11.21,33.28,0.000,0.000,0.175,0.000,0.024,0.526,0.000,0.000,0.000,0.230,0.007,0.000,0.038,0.000,0.000
139,139,-11.03,32.79,0.000,0.000,0.216,0.000,0.053,0.495,0.000,0.013,0.006,0.187,0.009,0.000,0.021,0.000,0.000
140,140,-11.06,33.12,0.000,0.000,0.145,0.000,0.297,0.294,0.001,0.001,0.000,0.200,0.004,0.000,0.058,0.000,0.000
141,141,-10.95,32.63,0.000,0.000,0.297,0.000,0.210,0.334,0.000,0.001,0.001,0.152,0.005,0.000,0.000,0.000,0.000
142,142,-10.78,32.88,0.000,0.000,0.309,0.000,0.006,0.555,0.000,0.000,0.000,0.120,0.011,0.000,0.000,0.000,0.000
143,143,-10.86,32.64,0.000,0.000,0.206,0.000,0.186,0.382,0.000,0.001,0.000,0.201,0.007,0.000,0.017,0.000,0.000
144,144,-10.7,32.62,0.000,0.000,0.102,0.000,0.262,0.376,0.000,0.000,0.000,0.261,0.000,0.000,0.000,0.000,0.000
145,145,-10.64,32.85,0.000,0.000,0.471,0.000,0.011,0.286,0.000,0.004,0.003,0.203,0.022,0.000,0.000,0.000,0.000
146,146,-10.56,32.68,0.000,0.000,0.109,0.000,0.180,0.275,0.000,0.020,0.000,0.407,0.009,0.000,0.000,0.000,0.000
147,147,-10.56,33.04,0.000,0.000,0.338,0.000,0.054,0.301,0.000,0.026,0.004,0.234,0.043,0.000,0.000,0.000,0.000
148,148,-10.42,32.86,0.000,0.000,0.205,0.000,0.005,0.411,0.000,0.001,0.000,0.351,0.001,0.000,0.026,0.000,0.000
149,149,-10.45,32.62,0.000,0.000,0.092,0.000,0.290,0.249,0.000,0.000,0.000,0.362,0.000,0.000,0.007,0.000,0.000
150,150,-10.33,33.02,0.000,0.000,0.381,0.000,0.039,0.358,0.000,0.004,0.000,0.206,0.012,0.000,0.000,0.000,0.000
